dyad,ccode1,ccode2,statea,stateb,statei,statej,daysign,monthsign,yearsign,dayforce,monthforce,yearforce,censor,month_count,maxhurdles,maxpolconv,maxchecks,minpolity,minratio,min_laworder,ln_mingdp,min_govexp,comlang,comcol,atopally,s2un,log_gapgdppc,maxcomlaw,fdi_host,fdi_home,coldwar,maxexecleft,BIT_Status,_st,_d,_t,_t0
20130,20,130,CAN,ECU,Canada,Ecuador,29,4,1996,6,6,1997,1,14,2,.86000001,4,9,.54000002,4,17.880569,12.06978,0,0,1,.65517241,10.06702,1,2.349334,2.133713,0,1,In Force,1,1,14,0
20135,20,135,CAN,PER,Canada,Peru,14,11,2006,20,6,2007,1,7,1,.86000001,5,9,.92000002,3,18.968269,9.5317106,0,0,,.56923079,10.34013,1,3.754952,3.4724231,0,1,In Force,1,1,7,0
20160,20,160,CAN,ARG,Canada,Argentina,5,11,1991,29,4,1993,1,17,2,.86000001,5,7,0,3,19.32761,3.3217609,0,0,1,1,9.8719969,1,1.285652,.9752751,0,0,In Force,1,1,17,0
20165,20,165,CAN,URU,Canada,Uruguay,29,10,1997,2,6,1999,1,20,2,.86000001,4,10,.5,3,17.12108,11.04163,0,0,1,.63265312,9.9561062,1,.52733159,3.617959,0,1,In Force,1,1,20,0
20290,20,290,CAN,POL,Canada,Poland,26,10,1990,22,11,1990,1,1,2,.86000001,4,5,0,4,19.49333,19.290489,0,0,1,.95454538,9.9020796,1,.13632929,.89861459,0,1,In Force,1,1,1,0
20310,20,310,CAN,HUN,Canada,Hungary,3,10,1991,21,11,1993,1,25,1,.86000001,4,10,.33000001,5,18.535879,10.59148,0,0,1,1,9.6769695,1,4.2827969,.9752751,0,0,In Force,1,1,25,0
20315,20,315,CAN,CZE,Canada,Czechoslovakia,15,11,1990,9,3,1992,1,17,2,.86000001,4,8,0,5,18.94726,,0,0,1,1,9.3251982,1,.3086113,.89861459,0,1,In Force,1,1,17,0
20317,20,317,CAN,SLO,Canada,Slovakia,15,11,1990,9,3,1992,1,16,1,.86000001,5,7,.56,5,18.03705,19.4573,0,0,1,1,9.7405806,1,1.0787261,3.617959,0,1,In Force,1,1,16,0
20344,20,344,CAN,CRO,Canada,Croatia,3,2,1997,30,1,2001,1,47,1,.86000001,4,-5,.38,,17.532129,19.4573,0,0,0,1,9.9232206,1,2.2928791,3.617959,0,1,In Force,1,1,47,0
20360,20,360,CAN,ROM,Canada,Romania,17,4,1996,11,2,1997,1,10,2,.86000001,7,8,.67000002,5,18.79364,13.10499,0,0,1,1,10.00746,1,.73953217,2.133713,0,1,In Force,1,1,10,0
20365,20,365,CAN,RUS,Canada,Russia,29,11,1989,27,6,1991,1,19,2,.86000001,4,-4,,3,20.45595,20.12216,0,0,1,.6056338,,1,.00041949999,.94796163,1,1,In Force,1,1,19,0
20367,20,367,CAN,LAT,Canada,Latvia,26,4,1995,27,7,1995,1,3,1,.86000001,5,8,.46000001,,16.5487,21.280041,0,0,1,1,10.0107,1,3.623739,1.9410011,0,1,In Force,1,1,3,0
20369,20,369,CAN,UKR,Canada,Ukraine,24,10,1994,24,6,1995,1,12,1,.86000001,4,7,.5,,19.27668,19.361601,0,0,1,.95238101,10.06152,1,.29321849,1.646389,0,1,In Force,1,1,12,0
20371,20,371,CAN,ARM,Canada,Armenia,8,5,1997,29,3,1999,1,22,1,.86000001,4,-6,.56,,15.66201,11.21672,0,0,1,.95555562,10.22483,1,3.167202,3.617959,0,1,In Force,1,1,22,0
20560,20,560,CAN,SAF,Canada,South Africa,27,11,1995,,,,0,145,2,.86000001,4,9,0,4,19.241791,18.322201,1,0,0,.74603182,10.04599,1,.82143778,1.9410011,0,1,Not in Force,1,0,145,0
20651,20,651,CAN,EGY,Canada,Egypt,13,11,1996,3,11,1997,1,12,0,.86000001,4,-6,.69999999,4,19.151699,10.37489,0,0,0,.66666669,10.13191,1,.82661128,2.133713,0,1,In Force,1,1,12,0
20660,20,660,CAN,LEB,Canada,Lebanon,11,4,1997,19,6,1999,1,26,1,.86000001,4,,0,4,17.4403,17.039181,0,0,0,.58974361,9.8807297,1,11.53946,3.617959,0,1,In Force,1,1,26,0
20800,20,800,CAN,THI,Canada,Thailand,17,1,1997,24,9,1998,1,20,2,.86000001,6,9,.56,5,19.734119,10.07277,0,0,0,.64705878,10.06371,1,2.57271,3.617959,0,1,In Force,1,1,20,0
20840,20,840,CAN,PHI,Canada,Philippines,10,11,1995,1,11,1996,1,12,3,.86000001,4,8,.63999999,4,18.82979,11.38775,1,0,0,.72881359,10.18006,1,1.968435,1.9410011,0,1,In Force,1,1,12,0
40310,40,310,CUB,HUN,Cuba,Hungary,22,10,1999,24,11,2003,1,49,1,.75999999,4,-7,.5,4,18.29262,10.15251,0,0,0,.39130431,8.447794,0,.031553101,.50660378,0,1,In Force,1,1,49,0
40317,40,317,CUB,SLO,Cuba,Slovakia,22,3,1997,5,12,1997,1,9,1,.76999998,5,-7,.31999999,5,18.03705,21.811331,0,0,0,.38095239,8.5344782,0,.0040214001,.44543061,0,1,In Force,1,1,9,0
40344,40,344,CUB,CRO,Cuba,Croatia,16,2,2001,,,,0,82,1,.69,3,-7,.50999999,4,17.6187,,0,0,0,.58139533,7.275764,0,.0137301,.82060182,0,1,Not in Force,1,0,82,0
40360,40,360,CUB,ROM,Cuba,Romania,27,1,1996,22,5,1997,1,16,2,.76999998,7,-7,.25,5,18.230301,13.10499,0,0,0,.40909091,7.0673628,0,.73953217,-.024909699,0,1,In Force,1,1,16,0
40712,40,712,CUB,MON,Cuba,Mongolia,26,3,1999,18,10,2000,1,19,1,.75999999,3,-7,.5,4,15.51434,17.08828,0,0,0,.8888889,8.6818399,0,2.9167769,-.00035250001,0,1,In Force,1,1,19,0
42040,42,40,DOM,CUB,Dominican Republic,Cuba,15,11,1999,,,,0,97,2,.73000002,5,-7,.5,4,17.887449,7.1579452,1,1,0,.88571429,6.7919469,0,6.23981,-.00035250001,0,1,Not in Force,1,0,97,0
42041,42,41,DOM,HAI,Dominican Republic,Haiti,8,10,1999,,,,0,98,2,.73000002,5,2,.5,2,16.3335,,0,0,1,1,8.6278744,0,.76497817,-.0135263,0,0,Not in Force,1,0,98,0
42095,42,95,DOM,PAN,Dominican Republic,Panama,6,2,2003,17,9,2006,1,43,2,.28,5,8,.36000001,2,16.86969,7.1439629,1,1,1,1,5.82969,0,5.9598551,-.2045439,0,1,In Force,1,1,43,0
42130,42,130,DOM,ECU,Dominican Republic,Ecuador,26,6,1998,21,6,1999,1,12,2,.74000001,5,8,.88999999,3,17.82884,6.758131,1,1,1,1,7.3758202,0,3.740993,.0043576998,0,1,In Force,1,1,12,0
42600,42,600,DOM,MOR,Dominican Republic,Morocco,23,5,2002,,,,0,67,2,.88999999,2,-6,.33000001,2,18.02128,8.6837549,0,0,0,.97014928,8.5012617,0,1.190828,.0604463,0,1,Not in Force,1,0,67,0
42713,42,713,DOM,TAW,Dominican Republic,Taiwan,5,11,1999,27,11,2001,1,24,2,.75,5,8,.5,4,17.887449,,0,0,0,,9.6299477,0,6.23981,1.479447,0,0,In Force,1,1,24,0
51040,51,40,JAM,CUB,Jamaica,Cuba,31,5,1997,,,,0,127,1,.28,3,-7,.31999999,3,16.93103,15.20817,0,0,0,.9245283,7.197525,1,.0040214001,.67274928,0,1,Not in Force,1,0,127,0
51475,51,475,JAM,NIG,Jamaica,Nigeria,5,8,2002,,,,0,64,2,.47,4,4,.41999999,1,16.96413,,1,1,0,1,8.8770056,1,3.4511001,.76367378,0,1,Not in Force,1,0,64,0
51552,51,552,JAM,ZIM,Jamaica,Zimbabwe,10,2,1999,,,,0,106,2,.67000002,3,-3,.27000001,2,15.33642,13.55665,1,1,0,.96666658,9.0247602,1,.98924023,1.074621,0,1,Not in Force,1,0,106,0
51651,51,651,JAM,EGY,Jamaica,Egypt,10,2,1999,,,,0,106,0,.68000001,3,-6,.56999999,2,16.929621,11.60598,0,0,0,.96610171,8.5047188,1,1.113534,1.074621,0,1,Not in Force,1,0,106,0
51710,51,710,JAM,CHN,Jamaica,China,26,10,1994,1,4,1996,1,18,1,.28,3,-7,.33000001,3,16.79739,10.08001,0,0,0,.92307693,8.7229452,1,5.7952981,1.0610549,0,1,In Force,1,1,18,0
51732,51,732,JAM,ROK,Jamaica,South Korea,10,6,2003,,,,0,54,1,.75,4,8,.67000002,,16.99604,13.04337,0,0,,.75,9.4164324,1,7.667881,.53210813,0,1,Not in Force,1,0,54,0
51850,51,850,JAM,INS,Jamaica,Indonesia,10,2,1999,,,,0,106,1,.41999999,3,6,.67000002,2,16.929621,6.6044569,0,0,0,.96610171,8.6794033,1,-1.192812,1.074621,0,1,Not in Force,1,0,106,0
52040,52,40,TRI,CUB,Trinidad and Tobago,Cuba,26,5,1999,,,,0,103,1,.86000001,4,-7,.5,4,16.595289,10.87632,0,0,0,.89090908,8.4899416,1,.031553101,3.8787091,0,1,Not in Force,1,0,103,0
