dyad,ccode1,ccode2,statea,stateb,statei,statej,daysign,monthsign,yearsign,dayforce,monthforce,yearforce,censor,month_count,maxhurdles,maxpolconv,maxchecks,minpolity,minratio,min_laworder,ln_mingdp,min_govexp,comlang,comcol,atopally,s2un,log_gapgdppc,maxcomlaw,fdi_host,fdi_home,coldwar,maxexecleft,BIT_Status,_st,_d,_t,_t0
380160,380,160,SWD,ARG,Sweden,Argentina,22,11,1991,28,9,1992,1,10,2,.75999999,5,7,0,3,19.23933,3.3217609,0,0,0,1,9.8398123,0,1.285652,2.731961,0,1,In Force,1,1,10,0
380165,380,165,SWD,URU,Sweden,Uruguay,17,6,1997,1,12,1999,1,30,2,.75999999,4,10,.5,3,17.12108,11.04163,0,0,0,.66666669,9.8378363,0,.52733159,5.011106,0,1,In Force,1,1,30,0
380290,380,290,SWD,POL,Sweden,Poland,13,10,1989,4,1,1990,1,3,2,.75999999,3,5,.25,4,19.238211,,0,0,1,.902439,9.7848539,0,.0132382,5.031991,1,1,In Force,1,1,3,0
380310,380,310,SWD,HUN,Sweden,Hungary,21,4,1987,21,4,1987,1,0,1,.75999999,3,-7,0,5,18.67107,10.30203,0,0,1,.81052631,9.5014286,0,,2.790406,1,1,In Force,0,,,
380315,380,315,SWD,CZE,Sweden,Czechoslovakia,13,11,1990,23,9,1991,1,10,2,.75999999,3,8,0,5,18.94726,,0,0,1,1,9.2262421,0,.3086113,6.0258288,0,1,In Force,1,1,10,0
380317,380,317,SWD,SLO,Sweden,Slovakia,13,11,1992,1,1,2003,1,122,1,.76999998,6,7,.81999999,6,17.65044,25.5793,0,0,0,,9.7401915,0,,.15271761,0,0,In Force,1,1,122,0
380338,380,338,SWD,MLT,Sweden,Malta,24,8,1999,1,1,2000,1,5,1,.76999998,4,,.87,6,15.82337,18.721239,0,0,1,1,9.2397709,0,22.142851,8.5296021,0,1,In Force,1,1,5,0
380339,380,339,SWD,ALB,Sweden,Albania,31,3,1995,1,4,1996,1,13,1,.75999999,3,5,.31,5,15.97347,13.64613,0,0,1,1,10.07618,0,2.8257871,4.4206309,0,1,In Force,1,1,13,0
380343,380,343,SWD,MAC,Sweden,Macedonia,7,5,1998,1,10,1998,1,5,1,.75999999,3,6,.46000001,,16.292231,20.260559,0,0,0,1,10.0128,0,4.20328,9.6289358,0,1,In Force,1,1,5,0
380345,380,345,SWD,YUG,Sweden,Serbia,10,11,1978,21,11,1979,1,12,1,.75999999,4,-7,1,,18.987789,,0,0,1,.82499999,,0,,.42755869,1,1,In Force,1,1,12,0
380346,380,346,SWD,BOS,Sweden,Bosnia,31,10,2000,1,1,2002,1,15,2,.76999998,4,,.14,,16.98283,,0,0,0,1,10.11707,0,3.226423,16.681141,0,1,In Force,1,1,15,0
380349,380,349,SWD,SLV,Sweden,Slovenia,5,10,1999,12,5,2001,1,19,1,.77999997,4,10,.33000001,5,17.4242,18.230829,0,0,1,.95999998,9.3176422,0,.48091361,8.5296021,0,1,In Force,1,1,19,0
380355,380,355,SWD,BUL,Sweden,Bulgaria,19,4,1994,1,4,1995,1,12,1,.76999998,6,8,.44,5,17.76202,17.18931,0,0,1,1,9.8806105,0,1.085656,3.079231,0,0,In Force,1,1,12,0
380360,380,360,SWD,ROM,Sweden,Romania,29,5,2002,1,4,2003,1,11,2,.76999998,4,8,.80000001,4,18.84828,6.8188038,0,0,1,.96226418,10.1164,0,2.480298,4.263979,0,1,In Force,1,1,11,0
380365,380,365,SWD,RUS,Sweden,Russia,19,4,1995,7,6,1996,1,14,2,.75999999,4,4,.5,3,19.2766,19.075951,0,0,1,.87234038,9.8127451,0,.51751047,4.4206309,0,1,In Force,1,1,14,0
380366,380,366,SWD,EST,Sweden,Estonia,31,3,1992,20,5,1992,1,2,1,.76999998,6,6,0,,16.223209,15.90651,0,0,1,1,9.8227949,0,3.902539,.15271761,0,0,In Force,1,1,2,0
380367,380,367,SWD,LAT,Sweden,Latvia,10,3,1992,6,11,1992,1,8,1,.76999998,6,8,.81999999,,19.228121,12.47919,0,0,1,1,,0,.57565778,.15271761,0,0,In Force,1,1,8,0
380368,380,368,SWD,LIT,Sweden,Lithuania,17,3,1992,1,9,1992,1,6,1,.76999998,6,10,.81999999,,19.228121,13.05931,0,0,1,1,,0,.12824459,.15271761,0,0,In Force,1,1,6,0
380369,380,369,SWD,UKR,Sweden,Ukraine,15,8,1995,1,3,1997,1,19,1,.75999999,6,7,.38,,19.139231,21.26965,0,0,1,.96226418,10.02158,0,.5492872,4.4206309,0,1,In Force,1,1,19,0
380370,380,370,SWD,BLR,Sweden,Belarus,20,12,1994,1,11,1996,1,23,1,.76999998,6,7,.14,,17.71855,20.511209,0,0,1,.9512195,9.9476662,0,.069300301,3.079231,0,1,In Force,1,1,23,0
380371,380,371,SWE,ARM,Sweden,Armenia,8,2,2006,,,,0,22,1,.76999998,4,5,.66000003,3,16.52659,10.09027,0,0,,.80645162,10.34721,0,7.0980558,5.9865189,0,1,Not in Force,1,0,22,0
380433,380,433,SWD,SEN,Sweden,Senegal,24,2,1967,23,2,1968,1,12,1,.75999999,,-7,.5,,15.45229,5.7887888,0,0,0,.23809519,9.6661539,0,,,1,,In Force,1,1,12,0
380437,380,437,SWD,CDI,Sweden,Cote d`Ivoire,27,8,1965,3,11,1966,1,15,1,.75999999,,-9,1,,15.44131,10.78083,0,0,0,.48148149,9.6315413,0,,,1,,In Force,1,1,15,0
380475,380,475,SWD,NIG,Sweden,Nigeria,18,4,2002,1,12,2006,1,56,2,.76999998,4,4,.41999999,2,19.131149,,0,0,0,.5925926,10.30972,1,3.4511001,4.263979,0,1,In Force,1,1,56,0
380510,380,510,SWD,TAZ,Sweden,Tanzania,15,9,1999,13,5,2002,1,30,1,.76999998,4,-1,.67000002,5,16.97653,7.8750968,0,0,0,.60000002,10.26757,1,5.0057158,8.5296021,0,1,In Force,1,1,30,0
380530,380,530,SWD,ETH,Sweden,Ethiopia,10,12,2004,1,10,2005,1,10,1,.76999998,5,1,.5,5,17.336451,13.05662,0,0,,.59183681,10.40162,0,5.431808,5.912487,0,1,In Force,1,1,10,0
380541,380,541,SWD,MZM,Sweden,Mozambique,23,10,2001,1,11,2002,1,4,1,.76999998,4,6,.56,3,16.01967,9.0797062,0,0,0,.58139533,10.32291,0,6.267406,3.2658131,0,1,In Force,1,1,4,0
380552,380,552,SWD,ZIM,Sweden,Zimbabwe,6,10,1997,,,,0,122,2,.75999999,3,-6,0,4,15.38895,16.315081,0,0,0,.58333331,10.19912,1,1.508329,5.011106,0,1,Not in Force,1,0,122,0
380560,380,560,SWD,SAF,Sweden,South Africa,25,5,1998,1,1,1999,1,8,2,.75999999,3,9,.36000001,3,19.31731,18.77243,0,0,0,.75999999,10.03007,1,.41783619,9.6289358,0,1,In Force,1,1,8,0
380580,380,580,SWD,MAG,Sweden,Madagascar,2,4,1966,23,6,1967,1,14,2,.75999999,,-1,0,,15.44361,15.48257,0,0,0,.67741942,9.6691303,0,,,1,,In Force,1,1,14,0
380590,380,590,SWD,MAS,Sweden,Mauritius,23,2,2004,1,6,2005,1,16,1,.76999998,4,10,.51999998,,16.14905,14.26158,0,0,,.53846163,10.12691,0,.1748323,5.912487,0,1,In Force,1,1,16,0
380600,380,600,SWD,MOR,Sweden,Morocco,26,9,1990,,,,0,207,2,.75999999,3,-8,.55000001,2,17.877371,15.49455,0,0,0,.83050847,10.09556,0,.57181978,6.0258288,0,1,Not in Force,1,0,207,0
380615,380,615,SWD,ALG,Sweden,Algeria,15,2,2003,1,4,2005,1,26,3,.76999998,4,-3,.57999998,2,18.966061,14.76929,0,0,,.56363642,10.19229,0,.93182361,6.786602,0,1,In Force,1,1,26,0
380616,380,616,SWD,TUN,Sweden,Tunisia,15,9,1984,13,5,1985,1,8,1,.75999999,3,-8,.86000001,2,16.982321,16.87044,0,0,0,.89583331,9.917017,0,1.761307,1.531402,1,1,In Force,1,1,8,0
380630,380,630,SWD,IRN,Sweden,Iran,5,9,2005,,,,0,27,1,.76999998,4,-6,.63,4,19.564159,13.04428,0,0,,.47169811,10.15491,0,1.614821,7.1613531,0,1,Not in Force,1,0,27,0
380640,380,640,SWD,TUR,Sweden,Turkey,11,4,1997,8,10,1998,1,18,1,.76999998,4,7,.55000001,4,19.30818,12.25939,0,0,1,.75,9.8522892,0,.31538549,5.011106,0,1,In Force,1,1,18,0
380651,380,651,SWD,EGY,Sweden,Egypt,15,7,1978,29,1,1979,1,6,1,.75999999,4,-6,.40000001,,18.01432,20.54109,0,0,0,.81818181,9.8853598,0,1.295392,.42755869,1,0,In Force,1,1,6,0
380660,380,660,SWD,LEB,Sweden,Lebanon,15,6,2001,2,11,2001,1,5,1,.76999998,4,,.70999998,4,17.36878,17.59687,0,0,0,.53191489,9.9874802,0,8.5038919,3.2658131,0,1,In Force,1,1,5,0
380679,380,679,SWD,YEM,Sweden,Yemen,29,10,1983,23,2,1984,1,4,1,.75999999,3,-6,.5,,19.06008,,0,0,0,,,0,.76874751,1.556069,1,1,In Force,1,1,4,0
380690,380,690,SWD,KUW,Sweden,Kuwait,7,11,1999,10,5,2002,1,30,1,.76999998,4,-7,.80000001,5,18.10364,26.861959,0,0,0,.6226415,9.0737448,0,23.71418,.076344199,0,1,In Force,1,1,30,0
380696,380,696,SWD,UAE,Sweden,United Arab Emirates,10,11,1999,15,3,2000,1,4,1,.76999998,4,-8,.56,4,18.540621,17.81813,0,0,0,.65384609,8.90765,1,23.71418,.57453609,0,1,In Force,1,1,4,0
380698,380,698,SWD,OMA,Sweden,Oman,13,7,1995,6,6,1996,1,11,1,.75999999,3,-9,.60000002,5,17.304029,25.082291,0,0,0,.77777779,9.324132,0,.33914831,4.4206309,0,1,In Force,1,1,11,0
380703,380,703,SWD,KYR,Sweden,Kyrgyzstan,8,3,2002,1,4,2003,1,13,1,.76999998,4,-3,.62,,15.95669,18.61923,0,0,1,.625,10.30516,0,.29003289,4.263979,0,1,In Force,1,1,13,0
380704,380,704,SWD,UZB,Sweden,Uzbekistan,29,5,2001,1,10,2001,1,5,1,.76999998,4,-9,.75999999,,17.451229,18.411381,0,0,1,,10.28927,0,.88881743,3.2658131,0,1,In Force,1,1,5,0
380705,380,705,SWD,KZK,Sweden,Kazakhstan,25,10,2004,1,8,2006,1,22,2,.76999998,4,-6,.74000001,4,18.637051,11.6145,0,0,,.625,10.13381,0,9.5734816,5.912487,0,1,In Force,1,1,22,0
380710,380,710,SWD,CHN,Sweden,China,29,3,1982,29,3,1982,1,0,1,.75999999,4,-7,1,,19.050051,15.25153,0,0,0,.84444451,9.9895086,0,.1455801,1.278138,1,1,In Force,0,,,
380712,380,712,SWD,MON,Sweden,Mongolia,30,10,2003,1,6,2004,1,8,1,.76999998,4,10,.83999997,4,15.63076,14.82097,0,0,,.65384609,10.30647,0,9.0805559,6.786602,0,1,In Force,1,1,8,0
380732,380,732,SWD,ROK,Sweden,South Korea,30,8,1995,18,6,1997,1,22,1,.75999999,4,6,.81,5,19.2766,11.20431,0,0,0,.92307693,9.2791185,0,.2356739,4.4206309,0,1,In Force,1,1,22,0
380750,380,750,SWD,IND,Sweden,India,4,7,2000,1,4,2001,1,9,2,.76999998,5,9,.50999999,4,19.42675,12.60934,0,0,0,.41666669,10.26768,1,.76701212,16.681141,0,1,In Force,1,1,9,0
380770,380,770,SWD,PAK,Sweden,Pakistan,12,3,1981,14,6,1981,1,3,1,.75999999,4,-7,0,,18.7055,10.16406,0,0,0,.75903612,9.9440041,1,.2715345,.68419248,1,0,In Force,1,1,3,0
380780,380,780,SWD,SRI,Sweden,Sri Lanka,30,4,1982,30,4,1982,1,0,1,.75999999,4,5,.56999999,,17.00556,8.3052864,0,0,0,.86407769,9.9512949,1,1.312677,1.278138,1,0,In Force,0,,,
380800,380,800,SWD,THI,Sweden,Thailand,18,2,2000,23,11,2000,1,9,2,.76999998,6,9,.76999998,5,19.42675,11.33125,0,0,0,.75510198,10.12198,1,2.7786629,16.681141,0,1,In Force,1,1,9,0
380812,380,812,SWD,LAO,Sweden,Laos,29,8,1996,1,1,1997,1,5,1,.75999999,3,-7,.75,,15.73704,,0,0,0,.67441863,10.14357,0,7.1600008,1.819617,0,1,In Force,1,1,5,0
380816,380,816,SWD,DRV,Sweden,Vietnam,8,9,1993,2,8,1994,1,11,1,.76999998,6,-7,.41999999,4,18.205139,7.3286371,0,0,0,.51351351,10.08244,0,7.0275912,.67180401,0,1,In Force,1,1,11,0
380820,380,820,SWD,MAL,Sweden,Malaysia,3,3,1979,6,7,1979,1,4,2,.75999999,3,4,.60000002,,17.803711,13.49608,0,0,0,.81818181,9.8038263,1,2.603338,.53798592,1,1,In Force,1,1,4,0
380840,380,840,SWD,PHI,Sweden,Philippines,17,8,1999,,,,0,100,3,.76999998,4,8,.75999999,4,18.96529,13.07526,0,0,0,.63999999,10.21585,0,1.637404,8.5296021,0,1,Not in Force,1,0,100,0
380850,380,850,SWD,INS,Sweden,Indonesia,17,9,1992,18,2,1993,1,5,1,.76999998,6,-7,.67000002,4,19.228121,8.7577009,0,0,0,.69565219,10.04629,0,1.217782,.15271761,0,0,In Force,1,1,5,0
385135,385,135,NOR,PER,Norway,Peru,10,3,1995,9,5,1995,1,2,2,.76999998,3,1,.33000001,3,18.56031,9.7463179,0,0,0,.75,10.41289,0,4.764596,1.917986,0,1,In Force,1,1,2,0
385155,385,155,NOR,CHL,Norway,Chile,1,6,1993,7,9,1994,1,15,2,.76999998,5,8,0,4,18.385731,10.4684,0,0,0,.74358982,10.23625,0,2.104382,.60801762,0,1,In Force,1,1,15,0
385290,385,290,NOR,POL,Norway,Poland,5,6,1990,24,10,1990,1,4,2,.77999997,5,5,.30000001,4,18.73624,19.290489,0,0,1,.95555562,10.11261,0,.13632929,1.346066,0,1,In Force,1,1,4,0
385310,385,310,NOR,HUN,Norway,Hungary,18,4,1991,4,12,1992,1,20,2,.76999998,5,10,.75999999,5,18.535879,10.59148,0,0,1,1,10.01212,0,4.2827969,1.210736,0,1,In Force,1,1,20,0
385315,385,315,NOR,CZE,Norway,Czechoslovakia,21,5,1991,6,8,1992,1,15,2,.87,5,8,0,5,18.76536,,0,0,1,1,9.8628397,0,1.562387,1.210736,0,1,In Force,1,1,15,0
385360,385,360,NOR,ROM,Norway,Romania,11,6,1991,23,3,1992,1,9,2,.76999998,5,5,.70999998,3,18.722799,15.15041,0,0,1,1,10.21078,0,.13767309,1.210736,0,1,In Force,1,1,9,0
385365,385,365,NOR,RUS,Norway,Russia,4,10,1995,21,5,1998,1,31,2,.76999998,4,4,.5,3,18.927691,19.075951,0,0,1,.86046511,10.30372,0,.51751047,1.917986,0,1,In Force,1,1,31,0
385366,385,366,NOR,EST,Norway,Estonia,15,6,1992,15,6,1992,1,0,2,.76999998,5,6,0,,16.223209,15.90651,0,0,1,1,10.19642,0,3.902539,-.093689598,0,1,In Force,0,,,
385367,385,367,NOR,LAT,Norway,Latvia,16,6,1992,1,12,1992,1,6,2,.76999998,5,8,.56,,18.799471,12.47919,0,0,1,1,,0,.57565778,-.093689598,0,1,In Force,1,1,6,0
385368,385,368,NOR,LIT,Norway,Lithuania,16,6,1992,20,12,1992,1,6,2,.76999998,5,10,.56,,18.799471,13.05931,0,0,1,1,,0,.12824459,-.093689598,0,1,In Force,1,1,6,0
385373,385,373,NOR,AZE,Norway,Azerbaijan,25,9,1996,,,,0,136,2,.76999998,3,-6,.25,,16.613041,12.01768,0,0,1,.85714293,10.54291,0,18.605061,3.811656,0,1,Not in Force,1,0,136,0
385580,385,580,NOR,MAG,Norway,Madagascar,14,5,1966,28,9,1967,1,16,2,.75999999,,-1,0,,15.44361,14.942,0,0,0,.57575762,9.5942621,0,,,1,,In Force,1,1,16,0
385710,385,710,NOR,CHN,Norway,China,21,11,1984,10,7,1985,1,8,2,.75999999,4,-7,.33000001,3,18.58614,15.32026,0,0,0,.69230771,10.22599,0,.4471375,.99928588,1,1,In Force,1,1,8,0
385780,385,780,NOR,SRI,Norway,Sri Lanka,13,6,1985,13,6,1985,1,0,2,.75999999,5,5,.33000001,1,17.148609,10.22263,0,0,0,.56989253,10.24686,1,.4063167,1.910643,1,0,In Force,0,,,
385820,385,820,NOR,MAL,Norway,Malaysia,6,11,1984,7,1,1986,1,14,2,.75999999,4,4,.67000002,5,18.15502,14.28156,0,0,0,.60465121,10.06228,1,2.2625501,.99928588,1,0,In Force,1,1,14,0
385850,385,850,NOR,INS,Norway,Indonesia,26,11,1991,1,10,1994,1,35,2,.76999998,5,-7,1,3,18.76536,8.3148842,0,0,0,.53191489,10.32909,0,1.052412,1.210736,0,1,In Force,1,1,35,0
390040,390,40,DEN,CUB,Denmark,Cuba,19,2,2001,,,,0,82,1,.76999998,7,-7,.50999999,4,18.381201,,0,0,0,.37777781,10.10814,0,.0137301,8.3257809,0,1,Not in Force,1,0,82,0
390070,390,70,DEN,MEX,Denmark,Mexico,13,4,2000,23,9,2000,1,5,2,.76999998,7,8,.33000001,2,18.99036,11.14315,0,0,0,.62962961,10.02345,0,2.8423581,16.584761,0,1,In Force,1,1,5,0
390093,390,93,DEN,NIC,Denmark,Nicaragua,13,3,1995,19,1,2001,1,70,1,.76999998,7,8,.5,4,15.91273,10.61017,0,0,0,.77777779,10.21144,0,2.186635,1.748459,0,1,In Force,1,1,70,0
390101,390,101,DEN,VEN,Denmark,Venezuela,28,11,1994,19,9,1996,1,22,1,.76999998,7,8,0,4,18.806709,7.2275219,0,0,0,.65217388,9.8997412,0,1.4381731,2.7095909,0,1,In Force,1,1,22,0
390135,390,135,DEN,PER,Denmark,Peru,23,11,1994,17,2,1995,1,3,1,.76999998,7,1,.33000001,3,18.475809,8.7971439,0,0,0,.65217388,10.07568,0,7.3239732,2.7095909,0,1,In Force,1,1,3,0
390140,390,140,DEN,BRA,Denmark,Brazil,4,5,1995,,,,0,151,2,.77999997,7,8,0,3,18.84013,21.035351,0,0,0,.76666671,9.9725056,0,.57287401,1.748459,0,1,Not in Force,1,0,151,0
390145,390,145,DEN,BOL,Denmark,Bolivia,12,3,1995,22,3,1997,1,24,2,.76999998,7,9,.54000002,3,16.928869,13.57262,0,0,0,.80327868,10.16661,0,5.573966,1.748459,0,1,In Force,1,1,24,0
390150,390,150,DEN,PAR,Denmark,Paraguay,22,4,1993,,,,0,176,2,.76999998,5,7,.56999999,4,16.648781,6.687192,0,0,0,.88571429,10.0477,0,1.145825,.97635013,0,0,Not in Force,1,0,176,0
390155,390,155,DEN,CHL,Denmark,Chile,28,5,1993,3,11,1995,1,30,2,.76999998,5,8,0,4,18.385731,10.4684,0,0,0,.78947371,9.8923225,0,2.104382,.97635013,0,0,In Force,1,1,30,0
390160,390,160,DEN,ARG,Denmark,Argentina,6,11,1992,2,2,1995,1,27,2,.76999998,5,7,0,3,18.75312,2.975538,0,0,0,.95454538,9.8509541,0,1.936797,1.488768,0,0,In Force,1,1,27,0
390290,390,290,DEN,POL,Denmark,Poland,1,5,1990,13,10,1990,1,5,2,.77999997,7,5,.30000001,4,18.7223,19.290489,0,0,1,.91111112,9.8325901,0,.13632929,1.091166,0,1,In Force,1,1,5,0
390310,390,310,DEN,HUN,Denmark,Hungary,2,5,1988,18,10,1988,1,5,1,.77999997,7,-2,.56999999,5,18.65531,11.69725,0,0,1,.70731711,9.525135,0,,.6998049,1,1,In Force,1,1,5,0
390315,390,315,DEN,CZE,Denmark,Czechoslovakia,6,3,1991,19,9,1992,1,18,2,.87,5,8,0,5,18.73418,,0,0,1,1,9.4435883,0,1.562387,1.354835,0,0,In Force,1,1,18,0
390339,390,339,DEN,ALB,Denmark,Albania,5,9,1995,18,1,1996,1,4,1,.76999998,7,5,.31,5,15.97347,13.64613,0,0,1,1,10.17846,0,2.8257871,1.748459,0,1,In Force,1,1,4,0
390344,390,344,DEN,CRO,Denmark,Croatia,5,7,2000,12,1,2002,1,18,1,.76999998,7,8,.68000001,5,17.56995,22.868731,0,0,0,.96078432,10.06203,0,4.9231081,16.584761,0,1,In Force,1,1,18,0
390346,390,346,DEN,BOS,Denmark,Bosnia,24,3,2004,,,,0,45,2,.76999998,5,,.47999999,,16.8358,21.5,0,0,,.96551722,10.28001,0,7.0237651,-4.2346072,0,0,Not in Force,1,0,45,0
390349,390,349,DEN,SLV,Denmark,Slovenia,12,5,1999,30,3,2002,1,34,1,.77999997,7,10,.33000001,5,17.4242,18.230829,0,0,1,1,9.5160074,0,.48091361,9.7818651,0,1,In Force,1,1,34,0
390355,390,355,DEN,BUL,Denmark,Bulgaria,14,4,1993,20,5,1995,1,25,1,.76999998,5,8,.57999998,5,17.74617,18.855801,0,0,1,.94871801,9.940134,0,.3692264,.97635013,0,0,In Force,1,1,25,0
390360,390,360,DEN,ROM,Denmark,Romania,12,11,1980,9,4,1981,1,6,2,.76999998,4,-8,.5,,18.50934,,0,0,1,.53846163,9.5350924,0,,.2806688,1,1,In Force,1,1,6,0
390365,390,365,DEN,RUS,Denmark,Russia,4,11,1993,26,8,1996,1,33,2,.76999998,5,4,.63,3,18.74962,20.039181,0,0,1,1,9.748229,0,.26463991,.97635013,0,0,In Force,1,1,33,0
390366,390,366,DEN,EST,Denmark,Estonia,6,11,1991,24,2,1993,1,15,1,.76999998,5,6,.88,,16.4617,10.90345,0,0,1,1,9.7701559,0,1.8928699,1.354835,0,0,In Force,1,1,15,0
390367,390,367,DEN,LAT,Denmark,Latvia,30,3,1992,18,11,1994,1,32,1,.76999998,5,8,.69999999,,18.75312,12.47919,0,0,1,1,,0,.57565778,1.488768,0,0,In Force,1,1,32,0
390368,390,368,DEN,LIT,Denmark,Lithuania,30,3,1992,8,1,1993,1,10,1,.76999998,5,10,.69999999,,18.75312,13.05931,0,0,1,1,,0,.12824459,1.488768,0,0,In Force,1,1,10,0
390369,390,369,DEN,UKR,Denmark,Ukraine,23,10,1992,29,4,1994,1,18,1,.76999998,5,6,.69999999,,18.75312,17.558981,0,0,1,.91111112,,0,.25467849,1.488768,0,1,In Force,1,1,18,0
390370,390,370,DEN,BLR,Denmark,Belarus,31,3,2004,20,7,2005,1,16,1,.76999998,5,-7,.80000001,4,18.231489,20.60318,0,0,,.51999998,10.14501,0,.70882797,-4.2346072,0,0,In Force,1,1,16,0
390452,390,452,DEN,GHA,Denmark,Ghana,13,1,1992,6,1,1995,1,36,1,.76999998,5,-1,.5,3,16.42215,12.10757,0,0,0,.57575762,10.17088,1,.32668051,1.488768,0,0,In Force,1,1,36,0
390500,390,500,DEN,UGA,Denmark,Uganda,26,11,2001,19,10,2005,1,47,1,.76999998,7,-4,.56999999,4,16.845579,15.58185,0,0,0,.2,10.38471,1,2.366653,8.3257809,0,1,In Force,1,1,47,0
390510,390,510,DEN,TAZ,Denmark,Tanzania,22,4,1999,21,10,2005,1,78,1,.76999998,7,-1,.67000002,5,16.97653,7.8750968,0,0,0,.51111108,10.34902,1,5.0057158,9.7818651,0,1,In Force,1,1,78,0
390530,390,530,DEN,ETH,Denmark,Ethiopia,24,4,2001,21,8,2005,1,52,1,.76999998,7,1,.69999999,5,17.27475,14.64713,0,0,0,.5,10.39569,0,4.343946,8.3257809,0,1,In Force,1,1,52,0
390541,390,541,DEN,MZM,Denmark,Mozambique,12,10,2002,30,12,2002,1,2,1,.76999998,5,6,.38,3,16.13022,9.4176683,0,0,0,.51111108,10.39647,0,8.2653236,3.270395,0,1,In Force,1,1,2,0
390552,390,552,DEN,ZIM,Denmark,Zimbabwe,25,10,1996,2,2,1999,1,28,2,.76999998,7,-6,0,4,15.2895,16.939831,0,0,0,.62962961,10.28637,1,.92921722,1.3485481,0,1,In Force,1,1,28,0
390560,390,560,DEN,SAF,Denmark,South Africa,22,2,1996,23,4,1997,1,14,2,.86000001,7,9,0,4,18.86772,19.09738,0,0,0,.74545449,10.09557,1,.56918442,1.3485481,0,1,In Force,1,1,14,0
390600,390,600,DEN,MOR,Denmark,Morocco,22,5,2003,,,,0,55,2,.89999998,5,-6,.67000002,5,18.25005,18.127081,0,0,,.4545455,10.3213,0,4.6454539,.57136148,0,0,Not in Force,1,0,55,0
390615,390,615,DEN,ALG,Denmark,Algeria,25,1,1999,15,7,2005,1,79,3,.76999998,7,-3,.33000001,2,18.805441,16.7871,0,0,0,.55102038,10.20525,0,.59970391,9.7818651,0,1,In Force,1,1,79,0
390616,390,616,DEN,TUN,Denmark,Tunisia,28,6,1996,11,4,1997,1,10,1,.76999998,7,-3,.61000001,5,17.392759,15.551,0,0,0,.66037738,10.15768,0,1.792529,1.3485481,0,1,In Force,1,1,10,0
390640,390,640,DEN,TUR,Denmark,Turkey,7,2,1990,1,8,1992,1,30,1,.77999997,7,9,.25,2,18.7223,10.96102,0,0,1,.75999999,9.8733616,0,.33770141,1.091166,0,0,In Force,1,1,30,0
390651,390,651,DEN,EGY,Denmark,Egypt,24,6,1996,29,10,2000,1,52,1,.76999998,7,-6,.69,4,18.86772,10.37489,0,0,0,.68627453,10.17504,0,.82661128,1.3485481,0,1,In Force,1,1,52,0
390690,390,690,DEN,KUW,Denmark,Kuwait,1,6,2001,29,1,2002,1,7,1,.76999998,7,-7,.81,5,18.162741,23.633301,0,0,0,.47999999,8.4968843,0,7.1802378,-.69361651,0,1,In Force,1,1,7,0
390703,390,703,DEN,KYR,Denmark,Kyrgyzstan,1,1,2001,,,,0,83,1,.76999998,7,-3,.60000002,,15.95082,17.4758,0,0,1,,10.35689,0,.32783529,8.3257809,0,1,Not in Force,1,0,83,0
390710,390,710,DEN,CHN,Denmark,China,29,4,1985,29,4,1985,1,0,1,.76999998,7,-7,.28999999,3,18.647579,14.40661,0,0,0,.69411772,10.06693,0,.63284051,.41601101,1,1,In Force,0,,,
390712,390,712,DEN,MON,Denmark,Mongolia,13,3,1995,2,4,1996,1,13,1,.76999998,7,9,.5,4,15.33224,13.14497,0,0,0,.76271188,10.21125,0,.68917882,1.748459,0,1,In Force,1,1,13,0
390731,390,731,DEN,PRK,Denmark,North Korea,10,9,1996,25,12,1997,1,15,1,.76999998,7,-9,.69,5,18.86772,,0,0,0,.33333331,,0,.0173783,1.3485481,0,1,In Force,1,1,15,0
390732,390,732,DEN,ROK,Denmark,South Korea,2,6,1988,2,6,1988,1,0,1,.77999997,7,6,.89999998,2,18.70122,10.75322,0,0,0,,9.698082,0,.43414491,.6998049,1,0,In Force,0,,,
390750,390,750,DEN,IND,Denmark,India,6,9,1995,28,8,1996,1,11,2,.76999998,7,9,0,4,18.84013,10.89273,0,0,0,.5471698,10.22208,1,.58254749,1.748459,0,1,In Force,1,1,11,0
390770,390,770,DEN,PAK,Denmark,Pakistan,18,7,1996,25,9,1996,1,2,1,.76999998,8,8,0,4,18.86772,12.6451,0,0,0,.58490568,10.22883,1,.53687692,1.3485481,0,1,In Force,1,1,2,0
390780,390,780,DEN,SRI,Denmark,Sri Lanka,4,6,1985,4,6,1985,1,0,1,.76999998,7,5,.82999998,1,17.148609,10.22263,0,0,0,.62105262,10.03474,1,.4063167,.41601101,1,0,In Force,0,,,
390812,390,812,DEN,LAO,Denmark,Laos,9,9,1998,9,5,1999,1,8,1,.76999998,7,-7,.69,,15.74362,,0,0,0,.67567569,10.30698,0,3.694453,2.5070469,0,1,In Force,1,1,8,0
390816,390,816,DEN,DRV,Denmark,Vietnam,23,7,1993,7,8,1994,1,13,1,.76999998,5,-7,.41999999,4,18.205139,7.3286371,0,0,0,.48571429,10.15227,0,7.0275912,.97635013,0,1,In Force,1,1,13,0
390820,390,820,DEN,MAL,Denmark,Malaysia,6,1,1992,18,9,1992,1,8,2,.76999998,5,4,.69999999,3,18.67239,13.01018,0,0,0,.64444453,9.9106531,1,8.3647776,1.488768,0,0,In Force,1,1,8,0
